"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=coords,acconly"
"Access Time","Mon 2017-03-13 20:35:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","coords,acconly"
"Elapsed Time","0.168"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"956612","occ","","","111558","Samaroblatta blabelloides","species","191018","Norian","","228","208.5","36584","152.753998","-27.621000"
"956613","occ","","","111558","Samaroblatta jonesi","species","191017","Norian","","228","208.5","36584","152.753998","-27.621000"
"956614","occ","","","111558","Samaroblatta triassica","species","191016","Norian","","228","208.5","36584","152.753998","-27.621000"
"956615","occ","","","111558","Samaroblatta reticulata","species","191015","Norian","","228","208.5","36584","152.753998","-27.621000"
"956616","occ","","","111558","Triassoblatta typica","species","191011","Norian","","228","208.5","36584","152.753998","-27.621000"
"956617","occ","","","111558","Triassoblatta insignita","species","191012","Norian","","228","208.5","36584","152.753998","-27.621000"
"956618","occ","","","111558","Triassoblatta intermedia","species","191013","Norian","","228","208.5","36584","152.753998","-27.621000"
"956619","occ","","","111558","Blattodea","order","170227","Norian","","228","208.5","36584","152.753998","-27.621000"
"961773","occ","","","112630","Phyloblatta diversipennis","species","191951","Westphalian D","","311.45","306.95","36675","-88.385002","41.340000"
"961774","occ","","","112630","Orthomylacris contorta","species","191953","Westphalian D","","311.45","306.95","36675","-88.385002","41.340000"
"961775","occ","","","112630","Platymylacris paucinervis","species","191955","Westphalian D","","311.45","306.95","36675","-88.385002","41.340000"
"961776","occ","","","112630","Blattoidea melanderi","species","191956","Westphalian D","","311.45","306.95","36675","-88.385002","41.340000"
"961947","occ","","","112700","Archimylacridae","family","191946","Westphalian","","318.1","306.95","36689","-71.400002","41.799999"
"961948","occ","","","112700","Dysmenes illustris","species","192049","Westphalian","","318.1","306.95","36689","-71.400002","41.799999"
"961949","occ","","","112700","Gyroblatta clarki","species","192050","Westphalian","","318.1","306.95","36689","-71.400002","41.799999"
"961951","occ","","","112700","Etoblattina","genus","170228","Westphalian","","318.1","306.95","36689","-71.400002","41.799999"
"961953","occ","","","112700","Gyroblatta scapularis","species","192055","Westphalian","","318.1","306.95","36689","-71.400002","41.799999"
"961956","occ","","","112702","Archimylacridae","family","191946","Westphalian","","318.1","306.95","36689","-71.260002","41.680000"
"961957","occ","","","112703","Etoblattina","genus","170228","Westphalian","","318.1","306.95","36689","-71.500000","41.779999"
"961958","occ","","","112704","Xenoblatta fraterna","species","192056","Westphalian C","Westphalian D","314.6","306.95","36689","-71.364998","41.790001"
"961959","occ","","","112704","Discoblatta scholfieldi","species","192051","Westphalian C","Westphalian D","314.6","306.95","36689","-71.364998","41.790001"
"961960","occ","","","112704","Etoblattina","genus","170228","Westphalian C","Westphalian D","314.6","306.95","36689","-71.364998","41.790001"
"961961","occ","","","112706","Archimylacridae","family","191946","Westphalian","","318.1","306.95","36689","-71.376999","41.794998"
"962911","occ","","","112630","Asemoblatta mazona","species","192205","Westphalian D","","311.45","306.95","36710","-88.385002","41.340000"
"962912","occ","","","112630","Blattoidea anceps","species","192203","Westphalian D","","311.45","306.95","36710","-88.385002","41.340000"
"962913","occ","29355","","112630","Mylacris sellardsi","species","229683","Westphalian D","","311.45","306.95","37094","-88.385002","41.340000"
"962914","occ","","","112630","Mylacris diplodiscus","species","192191","Westphalian D","","311.45","306.95","36710","-88.385002","41.340000"
"962922","occ","","","113003","Blattoidea juvenis","species","192207","Kasimovian","","307","303.7","36710","-95.235001","38.971699"
"962924","occ","","","112630","Archoblattina beecheri","species","192213","Westphalian D","","311.45","306.95","48173","-88.385002","41.340000"
"962926","occ","","","113003","Archimylacridae","family","191946","Kasimovian","","307","303.7","36704","-95.235001","38.971699"
"962927","occ","29979","","113003","Spiloblattina lawrenceana","species","236042","Kasimovian","","307","303.7","41755","-95.235001","38.971699"
"962928","occ","","","113003","Sysciophlebia arcuata","species","192208","Kasimovian","","307","303.7","36704","-95.235001","38.971699"
"962929","occ","","","113003","Dictyomylacris multinervis","species","192210","Kasimovian","","307","303.7","36704","-95.235001","38.971699"
"964398","occ","","","113475","Rhipidoblattina liugouensis","species","193309","Callovian","Oxfordian","166.1","157.3","36824","118.324997","40.910000"
"964399","occ","","","113477","Rhipidoblattina liaoningensis","species","193310","Callovian","Oxfordian","166.1","157.3","56259","120.050003","41.450001"
"964400","occ","","","154832","Rhipidoblattina beipiaoensis","species","193311","Callovian","Oxfordian","166.1","157.3","36824","120.750000","41.750000"
"964401","occ","","","113475","Rhipidoblattina (Canaliblatta) tenuis","species","193315","Callovian","Oxfordian","166.1","157.3","36824","118.324997","40.910000"
"964402","occ","","","113476","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824","117.614998","40.889999"
"964403","occ","","","113473","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824","118.324997","40.910000"
"964404","occ","","","154823","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824","120.750000","41.750000"
"964405","occ","","","113478","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Toarcian","","182.7","174.1","36824","123.820000","41.290001"
"964407","occ","","","113480","Triassoblatta damiaoliangensis","species","193319","Callovian","Oxfordian","166.1","157.3","36824","117.949997","40.900002"
"964408","occ","","","113475","Triassoblatta fusiformis","species","193321","Callovian","Oxfordian","166.1","157.3","36824","118.324997","40.910000"
"964409","occ","","","113481","Sogdoblatta haifanggouensis","species","193323","Callovian","Oxfordian","166.1","157.3","36824","120.785004","41.849998"
"964410","occ","","","154834","Fusiblatta arcuata","species","328113","Callovian","Oxfordian","166.1","157.3","56259","117.605003","40.959999"
"964411","occ","","","113482","Fusiblatta dongchangtaiensis","species","328114","Callovian","Oxfordian","166.1","157.3","56259","125.175003","41.695000"
"964826","occ","","","109025","Isoptera","infraorder","71739","Late Maastrichtian","","70.6","66","36938","-74.758331","40.120834"
"966817","occ","","","106380","Ischnoptera brunneri","species","195121","Chadronian","","37.2","33.9","5034","-105.283333","38.916668"
"968519","occ","","","114637","Nannoblattina petulantia","species","195985","Late Sinemurian","","196.5","189.6","37125","-2.903611","50.737499"
"968520","occ","","","114637","Rhipidoblattina","genus","193308","Late Sinemurian","","196.5","189.6","37125","-2.903611","50.737499"
