"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=acconly"
"Access Time","Wed 2017-03-08 23:30:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","0.177"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"970525","occ","","","23142","Blattodea","order","170227","Carnian","","237","228","37260"
"970526","occ","","","23002","Triassoblatta natalensis","species","197200","Carnian","","237","228","37260"
"970532","occ","","","23003","Triassoblatta","genus","191010","Late Triassic","","237","201.3","37260"
"970533","occ","","","23003","Blattodea","order","170227","Late Triassic","","237","201.3","37260"
"970536","occ","","","115105","Blattodea","order","170227","Carnian","","237","228","37260"
"970537","occ","","","23317","Triassoblatta robusta","species","197202","Carnian","","237","228","37260"
"971003","occ","","","115196","Blattodea","order","170227","Carnian","","237","228","37267"
"971004","occ","","","115196","Samaroblattella revelata","species","197320","Carnian","","237","228","37267"
"971005","occ","","","115196","Samaroblatta parvula","species","197319","Carnian","","237","228","37267"
"971006","occ","","","115196","Triassoblatta simplex","species","197308","Carnian","","237","228","37267"
"974263","occ","","","106479","Phyloblatta grimaldii","species","198116","Norian","","228","208.5","37414"
"974359","occ","","","115919","Thuringoblatta gimmi","species","198146","Carnian","","237","228","53521"
"974360","occ","","","115919","Keuperoblatta thuringica","species","198199","Carnian","","237","228","37415"
"974429","occ","","","115969","Triassoblatta","genus","191010","Bithynian","","247.2","242","37420"
"974441","occ","","","114861","Pedinoblatta","genus","188982","Longobardian","","242","235","37420"
"974754","occ","","","116101","Nipponoblatta suzugaminae","species","198357","Early Toarcian","","183","182","37424"
"974784","occ","","","116117","Rhodesiomylacris bondi","species","198359","Wuchiapingian","Changhsingian","259.9","252.17","37425"
"974785","occ","","","116118","Phyloblatta resitensis","species","198364","Stephanian B","","304.8","303.4","37427"
"976836","occ","","","116607","Phyloblatta uralensis","species","199213","Capitanian","","265.1","259.9","37557"
"976837","occ","","","116607","Archimylacridae","family","191946","Capitanian","","265.1","259.9","37557"
"976841","occ","","","104994","Aissoblatta parvula","species","199215","Capitanian","","265.1","259.9","37557"
"976842","occ","","","104994","Archimylacridae","family","191946","Capitanian","","265.1","259.9","37557"
"979974","occ","","","116803","Phylloblatta latiuscula","species","200158","Roadian","","272.3","268.8","37651"
"979975","occ","","","116803","Phylloblatta tartarica","species","200159","Roadian","","272.3","268.8","37651"
"979976","occ","","","116803","Phyloblatta","genus","175496","Roadian","","272.3","268.8","37651"
"980068","occ","","","117186","Archimylacridae","family","191946","Carboniferous","","358.9","298.9","37675"
"980206","occ","","","107682","Voltziablatta intercalata","species","200341","Aegean","","247.2","242","37689"
"980207","occ","","","107682","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689"
"980208","occ","","","107682","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689"
"980209","occ","","","106916","Voltziablatta grauvogeli","species","200342","Aegean","","247.2","242","37689"
"980265","occ","","","117246","Miotermes procerus","species","197600","Sarmatian","","12.7","11.608","37344"
"980266","occ","","","117247","Mastotermes haidingeri","species","200453","Sarmatian","","12.7","11.608","37344"
"980267","occ","","","117248","Miotermes spectabilis","species","200456","Sarmatian","","12.7","11.608","37344"
"980277","occ","","","113689","Miotermes insignis","species","200458","Sarmatian","","12.7","11.608","37344"
"980291","occ","","","117249","Termopsis bremii","species","200461","Priabonian","","38","33.9","37344"
"980298","occ","","","117246","Macrotermes pristinus","species","200484","Sarmatian","","12.7","11.608","50672"
"980299","occ","","","117250","Termitinae","subfamily","181625","Sarmatian","","12.7","11.608","37344"
"980300","occ","","","117250","Termitinae","subfamily","181625","Sarmatian","","12.7","11.608","37344"
"980301","occ","","","117251","Euisoptera","unranked clade","220272","Holocene","","0.0117","0","37344"
"980302","occ","","","123418","Glyptotermes pusillus","species","200491","Holocene","","0.0117","0","37344"
"980385","occ","","","135640","Mastotermes krishnorum","species","200612","MP 13","","48.6","40.4","37727"
"980386","occ","","","117258","Blattotermes wheeleri","species","200613","Early Eocene","","55.8","48.6","37728"
"980412","occ","","","117269","Triassoblatta cargnini","species","200339","Ladinian","","242","237","37688"
"981108","occ","","","153634","Mylacridae","family","179328","Westphalian C","Westphalian D","314.6","306.95","49691"
"981109","occ","","","153634","Orthomylacris heeri","species","200960","Westphalian C","Westphalian D","314.6","306.95","49691"
"981495","occ","","","113360","Fortiblatta cuspicolor","species","201339","Callovian","Oxfordian","166.1","157.3","37799"
"981511","occ","","","113360","Fuzia dadao","species","201358","Callovian","Oxfordian","166.1","157.3","37804"
"981512","occ","","","117521","Fuzia dadao","species","201358","Callovian","Oxfordian","166.1","157.3","37804"
"982844","occ","","","117695","Solemnia alexandri","species","201743","Tithonian","","152.1","145","37857"
"982845","occ","","","117696","Solemnia alexandri","species","201743","Tithonian","","152.1","145","37857"
"982846","occ","","","117697","Solemnia alexandri","species","201743","Tithonian","","152.1","145","37857"
"982847","occ","","","117697","Blattula choutinensis","species","201744","Tithonian","","152.1","145","37857"
"982848","occ","","","117697","Irreblatta relicta","species","201746","Tithonian","","152.1","145","37857"
"982849","occ","","","117698","Blattula choutinensis","species","201744","Tithonian","","152.1","145","37857"
"982850","occ","","","105970","Skok svaba","species","201749","Callovian","Oxfordian","166.1","157.3","37858"
"982851","occ","","","105971","Skok svaba","species","201749","Callovian","Oxfordian","166.1","157.3","37858"
"982852","occ","","","113439","Skok svaba","species","201749","Callovian","Oxfordian","166.1","157.3","37858"
"983262","occ","","","119619","Shartegoblattina elongata","species","201763","Tithonian","","152.1","145","37859"
"983293","occ","","","119619","Blattodea","order","170227","Tithonian","","152.1","145","37859"
"983370","occ","","","123987","Mesoblattina protypa","species","201875","Early Toarcian","","183","182","50037"
"983371","occ","","","114993","Mesoblattina protypa","species","201875","Early Toarcian","","183","182","37861"
"983372","occ","","","114991","Mesoblattina protypa","species","201875","Early Toarcian","","183","182","37861"
"983374","occ","","","117794","Mesoblattina protypa","species","201875","Early Toarcian","","183","182","37861"
"983375","occ","","","114991","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","37861"
"983376","occ","","","117795","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","37861"
"983377","occ","","","123987","Caloblattina mathildae","species","201879","Early Toarcian","","183","182","49168"
"983378","occ","","","114991","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","37861"
"983379","occ","","","117795","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","37861"
"983380","occ","","","123987","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","37861"
"983381","occ","","","117796","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","37861"
"983382","occ","","","154307","Liadoblattina blakei","species","201883","Early Toarcian","","183","182","43005"
"983383","occ","","","113957","Rhipidoblattina geikiei","species","201888","Early Hettangian","","201.3","196.5","37861"
"983384","occ","","","123987","Eublattula crassivena","species","201891","Early Toarcian","","183","182","37201"
"983385","occ","","","123987","Blattula langfeldti","species","201892","Early Toarcian","","183","182","50037"
"983424","occ","","","114991","Blattula langfeldti","species","201892","Early Toarcian","","183","182","37861"
"983426","occ","","","114993","Blattula langfeldti","species","201892","Early Toarcian","","183","182","37861"
"983427","occ","","","117795","Blattula langfeldti","species","201892","Early Toarcian","","183","182","37861"
"983430","occ","","","114991","Blattula dubia","species","201918","Early Toarcian","","183","182","37861"
"983431","occ","","","114993","Blattula dubia","species","201918","Early Toarcian","","183","182","37861"
"983432","occ","","","123987","Blattula dubia","species","201918","Early Toarcian","","183","182","37201"
"984151","occ","","","117987","Triassoblatta uralica","species","202195","Rhaetian","Hettangian","208.5","199.3","37913"
"984152","occ","","","117988","Sogdoblatta abakanensis","species","202198","Aalenian","Bajocian","174.1","168.3","37913"
"984154","occ","","","114702","Sogdoblatta elongata","species","202199","Pliensbachian","","190.8","182.7","37913"
"984155","occ","","","104996","Sogdoblatta elongata","species","202199","Toarcian","","182.7","174.1","37913"
"984161","occ","","","104996","Liadoblattina euryptera","species","202200","Toarcian","","182.7","174.1","37913"
"984166","occ","","","117989","Etapia tomiensis","species","202202","Toarcian","Aalenian","182.7","170.3","37913"
"984167","occ","","","104946","Rhipidoblattina tulunensis","species","202212","Toarcian","","182.7","174.1","37913"
"984168","occ","","","104996","Ijablatta maculata","species","202214","Toarcian","","182.7","174.1","37913"
"984169","occ","","","117990","Kemerowia kusbassica","species","202216","Pliensbachian","","190.8","182.7","37913"
"984170","occ","","","117990","Samaroblatta tomica","species","202217","Pliensbachian","","190.8","182.7","37913"
